location,t,bps,retransmits,snd_cwnd,snd_wnd,rtt,rttvar,phase,S_selected,expected_action,action
21,168.001104,150926431.10136008,2,8123280,11405824,271182,3114,3,1.0,11,11
21,169.000568,273825112.98857224,0,16389912,11848704,276825,1007,3,1.0,11,2
21,170.000947,287200984.49650735,1,13957272,11829248,272455,1597,1,1.05,1,1
21,171.000334,119610982.4423111,557,7706256,8628736,271273,1842,2,0.9,6,6
21,172.000507,136291305.32777423,0,7706256,11852800,269512,4747,3,1.0,11,8
21,173.00105,229513518.54641116,0,16389912,11857920,275316,2258,3,1.0,11,11
21,174.00029,265491506.54299125,1,16389912,11847168,277108,617,3,1.0,11,11
21,175.001068,111062653.71750446,699,3884984,11852800,279982,1767,3,1.0,11,2
21,176.001081,185595540.4063358,0,6601432,11844608,278702,4938,3,1.0,11,11
21,177.001079,181404015.625745,0,6601432,11848704,269956,3250,3,1.0,11,11
21,178.000435,173126538.37059346,1,7751144,11841536,273767,1438,3,1.0,11,11
21,179.001071,166617618.267252,1,7751144,11853824,275073,2961,3,1.0,11,2
21,180.000845,170956527.73338395,2,7769968,11857920,279159,2622,3,1.0,11,11
21,181.000246,223480558.81719118,0,8033504,11849728,275845,1379,1,1.1,2,2
21,182.001053,225262042.96872875,0,4433776,11844608,278552,3827,3,1.0,11,11
21,183.00066,183572939.28632227,0,8705376,11837440,266162,2283,3,1.0,11,11
21,184.000976,166670912.0206005,2,8702480,11847168,278344,1560,3,1.0,11,10
21,185.001102,182429237.14644054,2,10221432,7897088,271273,4039,3,1.0,11,11
21,186.000804,230755490.4952047,138,7510776,8417280,275920,7220,3,1.0,11,11
21,187.000082,90242690.41590594,1069,7045968,11859456,272575,2412,2,0.9,6,11
21,188.000798,169747777.5151658,1,7018456,11841536,267912,2072,3,1.0,11,10
21,189.000633,175141087.76738715,0,8818320,11818496,267547,4359,3,1.0,11,11
21,190.000849,276764280.913579,0,8824112,11843072,274157,1674,3,1.0,11,2
21,191.001097,112169818.89640707,7,8854520,11859456,272739,3991,3,1.0,11,8
21,192.000513,148984800.06325793,2,8926920,11849728,279764,4461,3,1.0,11,5
21,193.000572,217042424.6307449,1,10671760,11827712,287311,1980,3,1.0,11,1
21,194.00109,228471228.045879,0,5668920,11848704,278708,1326,1,1.1,2,11
21,195.001085,216007737.50541487,1,11844640,6851072,273083,4036,3,1.0,11,11
21,196.000957,106968440.87678161,756,9274440,11844608,266279,4653,2,0.9,6,6
21,197.000741,224443745.4723487,0,9274440,11856896,278368,827,3,1.0,11,11
21,198.001092,243184285.95237878,2,15176488,6550016,273757,4107,3,1.0,11,8
21,199.000093,106012079.29462157,792,6789672,11859456,264768,1490,3,1.0,11,11
21,200.000311,185557494.19616833,0,6789672,11838976,270158,3645,3,1.0,11,11
21,201.00108,181264252.32294187,0,7972688,11851264,270624,2127,3,1.0,11,11
21,202.000136,154286321.1204444,637,6779536,11853824,266403,2535,3,1.0,11,11
21,203.000355,182412277.99767378,0,6779536,11853824,268659,1089,3,1.0,11,5
21,204.000266,180371123.17839012,0,7959656,11849728,264775,2376,3,1.0,11,11
21,205.000746,224287593.43787882,0,7974136,11838976,265116,2090,1,1.1,2,2
21,206.001108,183434389.6681044,3,8065360,8655360,275517,3984,3,1.0,11,2
21,207.001103,97518056.2524446,0,4610432,11837440,266965,2343,2,0.9,6,6
21,208.000546,148980775.09703362,1,4610432,11855360,272883,2721,3,1.0,11,11
21,209.000926,117395896.95546651,2,5414072,11800576,269469,2196,3,1.0,11,10
21,210.000594,183561742.10765,0,5416968,11838976,265357,2352,3,1.0,11,11
21,211.001112,137292343.45876214,0,5460408,11857920,272402,8608,3,1.0,11,11
21,212.001085,149950416.79682118,1,5920872,11855360,282226,3189,3,1.0,11,3
21,213.000098,107060419.91852897,739,4598848,11060224,280164,12592,3,1.0,11,5
21,214.001095,161319876.58645386,170,4598848,11855360,269844,3426,1,1.2,4,10
21,215.00108,137365519.28099126,0,4598848,11822592,270116,3173,3,1.0,11,3
21,216.00033,135367830.58296975,0,4598848,11831808,268609,795,3,1.0,11,11
21,217.000773,119484734.4468245,106,4598848,11794432,273193,2243,3,1.0,11,11
21,218.000505,68175709.8960121,37,4546720,11049984,282604,6156,2,0.9,6,11
21,219.000636,134200146.30339582,86,4467080,11847168,274542,4248,3,1.0,11,11
21,220.000478,113264105.07795154,46,5131712,11860480,278368,6498,3,1.0,11,3
21,221.000283,136341470.18578815,1,5409728,11857920,286831,821,3,1.0,11,11
21,222.000824,94320815.1030281,1,5540048,11846144,265517,2896,3,1.0,11,11
21,223.001058,155152940.99612337,56,7053208,11371520,268719,2814,3,1.0,11,2
21,224.000087,197323893.30244052,4,8437496,7396864,265920,1912,3,1.0,11,11
21,225.000254,56613648.829129025,173,8185544,11860480,266496,4749,3,1.0,11,11
21,226.000693,151976794.92050025,333,7465888,9217024,268911,7905,3,1.0,11,11
21,227.001088,134164724.93936716,4,9907216,9638400,267128,3465,3,1.0,11,6
21,228.001083,197133275.00494173,1,9908664,11856896,269487,3452,1,1.15,3,1
21,229.001106,164622644.46214136,3,9915904,11862016,309578,556,3,1.0,11,10
21,230.000303,116485473.10971677,247,7376112,11843072,277255,5819,3,1.0,11,10
21,231.001051,180220260.3442807,1,7376112,11859456,271220,1882,3,1.0,11,11
21,232.001089,132115551.94105372,905,8622840,11840512,388560,41062,3,1.0,11,11
21,233.000462,97578748.0462424,1950,5838336,11831808,274660,3144,2,0.9,6,5
21,234.000267,157317080.98360172,0,5836888,11849728,290008,2073,3,1.0,11,11
21,235.002092,231313155.2712822,0,8660488,11837440,281284,1470,3,1.0,11,9
21,236.00108,81871784.47801472,1231,7245792,8763392,277756,4447,3,1.0,11,11
