dataset_flag,location,t,bps,retransmits,snd_cwnd,snd_wnd,rtt,rttvar,phase,S_selected,best_action,random_action,reward_random,best_action_reward_based,best_gain_reward_based,reward_best
1,21,149.000338,228761372.02800757,0,6301696,11808768,270152,2342,3,1.0,11,11,0.8168301855542697,11,1.0,0.8168301855542697
1,21,150.00019,136335057.36121583,0,5366288,11843072,264629,1058,3,1.0,11,11,0.4868067944105513,11,1.0,0.4868067944105513
1,21,151.001083,89049439.13687535,1,5366288,11838976,266923,1890,3,1.0,11,2,0.3142099736541263,11,1.0,0.31738963065866516
1,21,152.000789,164674851.29921263,1,5366288,11859456,269014,1536,3,1.0,11,11,0.5874226301181068,11,1.0,0.5874226301181068
1,21,153.000909,179284973.95858666,0,6301696,11837440,279314,1417,3,1.0,11,11,0.6401665510545864,11,1.0,0.6401665510545864
1,21,154.001131,148864748.83451536,2,6304592,11848704,292052,2647,3,1.0,11,7,0.5303939850234723,11,1.0,0.5303939850234723
1,21,155.000372,184689556.3976994,0,6365408,11848704,263754,1218,3,1.0,11,11,0.6594645034905567,11,1.0,0.6594645034905567
1,21,156.000478,224371485.76994687,0,7047416,11837440,265503,2394,1,1.1,2,2,0.7931438193542278,1,1.05,0.7971495962196533
1,21,157.000852,92240193.89939804,693,5341672,11841536,276761,2276,2,0.9,6,7,-0.0022211183091793707,6,0.9,-0.0022211183091793707
1,21,158.000939,164612106.99660164,2,5332984,9804800,266033,3520,3,1.0,11,11,0.7040934367216981,11,1.0,0.7040934367216981
1,21,159.000059,155325935.2852177,123,5341672,11849728,269178,1611,3,1.0,11,7,0.6212086504386954,11,1.0,0.6212086504386954
1,21,160.000343,92248493.43811683,170,5096960,11849728,273396,3652,3,1.0,11,11,0.31404145176842546,11,1.0,0.31404145176842546
1,21,161.000918,167675755.42746225,0,5341672,11835904,276076,1122,3,1.0,11,11,0.7465827673293377,11,1.0,0.7465827673293377
1,21,162.000208,96537534.6660145,172,5094064,11853824,272317,2494,3,1.0,11,11,0.3090543317949719,11,1.0,0.3090543317949719
1,21,163.000543,120545859.77649069,72,5040488,11707904,269717,3220,3,1.0,11,11,0.452304147988744,11,1.0,0.452304147988744
1,21,164.000778,133137869.72513053,38,6271288,10125824,270123,1303,3,1.0,11,9,0.5266418116211442,11,1.0,0.5266418116211442
1,21,165.001082,180300263.66084108,1,6271288,11848704,270618,2746,3,1.0,11,11,0.8010425707698455,11,1.0,0.8010425707698455
1,21,166.000639,129032006.82031253,21,6284320,11855360,286653,1326,3,1.0,11,10,0.5378085866604372,11,1.0,0.5378085866604372
1,21,167.00065,183498787.52207136,0,6453736,11849728,278348,749,3,1.0,11,11,0.817035427933838,11,1.0,0.817035427933838
1,21,168.001104,150926431.10136008,2,8123280,11405824,271182,3114,3,1.0,11,11,0.6669820605490211,11,1.0,0.6669820605490211
1,21,169.000568,273825112.98857224,0,16389912,11848704,276825,1007,3,1.0,11,1,0.995,11,1.0,1.0
1,21,170.000947,287200984.49650735,1,13957272,11829248,272455,1597,1,1.05,1,1,0.9924880894573793,1,1.05,0.9924880894573793
1,21,171.000334,119610982.4423111,557,7706256,8628736,271273,1842,2,0.9,6,6,0.057884480443979036,6,0.9,0.057884480443979036
1,21,172.000507,136291305.32777423,0,7706256,11852800,269512,4747,3,1.0,11,11,0.49651850940455183,11,1.0,0.49651850940455183
1,21,173.00105,229513518.54641116,0,16389912,11857920,275316,2258,3,1.0,11,4,0.8194107147623185,11,1.0,0.8361333824105291
1,21,174.00029,265491506.54299125,1,16389912,11847168,277108,617,3,1.0,11,11,0.9663183752878313,11,1.0,0.9663183752878313
1,21,175.001068,111062653.71750446,699,3884984,11852800,279982,1767,3,1.0,11,11,0.02239755865230031,11,1.0,0.02239755865230031
1,21,176.001081,185595540.4063358,0,6601432,11844608,278702,4938,3,1.0,11,11,0.6761371963755559,11,1.0,0.6761371963755559
1,21,177.001079,181404015.625745,0,6601432,11848704,269956,3250,3,1.0,11,11,0.6608671860752945,11,1.0,0.6608671860752945
1,21,178.000435,173126538.37059346,1,7751144,11841536,273767,1438,3,1.0,11,11,0.6298269743501541,11,1.0,0.6298269743501541
1,21,179.001071,166617618.267252,1,7751144,11853824,275073,2961,3,1.0,11,11,0.6061145350293031,11,1.0,0.6061145350293031
1,21,180.000845,170956527.73338395,2,7769968,11857920,279159,2622,3,1.0,11,11,0.6210366850931681,11,1.0,0.6210366850931681
1,21,181.000246,223480558.81719118,0,8033504,11849728,275845,1379,1,1.1,2,8,0.814154899154785,1,1.05,0.810084124659011
1,21,182.001053,225262042.96872875,0,4433776,11844608,278552,3827,3,1.0,11,5,0.797893068519104,11,1.0,0.8206449672726447
1,21,183.00066,183572939.28632227,0,8705376,11837440,266162,2283,3,1.0,11,11,0.6687687227167711,11,1.0,0.6687687227167711
1,21,184.000976,166670912.0206005,2,8702480,11847168,278344,1560,3,1.0,11,11,0.6054238951175017,11,1.0,0.6054238951175017
1,21,185.001102,182429237.14644054,2,10221432,7897088,271273,4039,3,1.0,11,5,0.6462174935523344,11,1.0,0.6628325470001535
1,21,186.000804,230755490.4952047,138,7510776,8417280,275920,7220,3,1.0,11,6,0.7209263780739166,11,1.0,0.7209263780739166
1,21,187.000082,90242690.41590594,1069,7045968,11859456,272575,2412,2,0.9,6,11,-0.1227013135545098,6,0.9,-0.1227013135545098
1,21,188.000798,169747777.5151658,1,7018456,11841536,267912,2072,3,1.0,11,10,0.617706822846606,11,1.0,0.617706822846606
1,21,189.000633,175141087.76738715,0,8818320,11818496,267547,4359,3,1.0,11,11,0.6570000435816659,11,1.0,0.6570000435816659
1,21,190.000849,276764280.913579,0,8824112,11843072,274157,1674,3,1.0,11,11,1.0,11,1.0,1.0
1,21,191.001097,112169818.89640707,7,8854520,11859456,272739,3991,3,1.0,11,11,0.416732539107652,11,1.0,0.416732539107652
1,21,192.000513,148984800.06325793,2,8926920,11849728,279764,4461,3,1.0,11,9,0.5585853579182055,11,1.0,0.5585853579182055
